ref,phraseNode,clauseNode,verse,rareTerms,phraseType,clause,verb,nouns,phrase,prepCt,nounCt,prepositions,nounTypes,notes
"('Genesis', 35, 22)",617170,518668,וַיְהִ֗י בִּשְׁכֹּ֤ן יִשְׂרָאֵל֙ בָּאָ֣רֶץ הַהִ֔וא וַיֵּ֣לֶךְ רְאוּבֵ֔ן וַיִּשְׁכַּ֕ב֙ אֶת־בִּלְהָ֖ה֙ פִּילֶ֣גֶשׁ אָבִ֑֔יו וַיִּשְׁמַ֖ע יִשְׂרָאֵֽ֑ל פ וַיִּֽהְי֥וּ בְנֵֽי־יַעֲקֹ֖ב שְׁנֵ֥ים עָשָֽׂר׃ ,"('BLHH=/', '<mother of Dan Naphtali>')",Cmpl,וַיִּשְׁכַּ֕ב֙ אֶת־בִּלְהָ֖ה֙ פִּילֶ֣גֶשׁ אָבִ֑֔יו ,יִּשְׁכַּ֕ב֙,פִּילֶ֣גֶשׁ,אֶת־בִּלְהָ֖ה֙ פִּילֶ֣גֶשׁ אָבִ֑֔יו ,1,1,את,agent, 
"('Genesis', 19, 33)",610387,516365,וַתַּשְׁקֶ֧יןָ אֶת־אֲבִיהֶ֛ן יַ֖יִן בַּלַּ֣יְלָה ה֑וּא וַתָּבֹ֤א הַבְּכִירָה֙ וַתִּשְׁכַּ֣ב אֶת־אָבִ֔יהָ וְלֹֽא־יָדַ֥ע בְּשִׁכְבָ֖הּ וּבְקוּׄמָֽהּ׃ ,,Cmpl,וַתִּשְׁכַּ֣ב אֶת־אָבִ֔יהָ ,תִּשְׁכַּ֣ב,אָבִ֔יהָ,אֶת־אָבִ֔יהָ ,1,1,את,agent, 
"('Genesis', 19, 34)",610404,516371,וַֽיְהִי֙ מִֽמָּחֳרָ֔ת וַתֹּ֤אמֶר הַבְּכִירָה֙ אֶל־הַצְּעִירָ֔ה הֵן־שָׁכַ֥בְתִּי אֶ֖מֶשׁ אֶת־אָבִ֑י נַשְׁקֶ֨נּוּ יַ֜יִן גַּם־הַלַּ֗יְלָה וּבֹ֨אִי֙ שִׁכְבִ֣י עִמֹּ֔ו וּנְחַיֶּ֥ה מֵאָבִ֖ינוּ זָֽרַע׃ ,"('>MC/', 'yesterday evening')",Cmpl,הֵן־שָׁכַ֥בְתִּי אֶ֖מֶשׁ אֶת־אָבִ֑י ,שָׁכַ֥בְתִּי,אָבִ֑י,אֶת־אָבִ֑י ,1,1,את,agent, 
"('2_Samuel', 7, 12)",699597,546620,כִּ֣י׀ יִמְלְא֣וּ יָמֶ֗יךָ וְשָֽׁכַבְתָּ֙ אֶת־אֲבֹתֶ֔יךָ וַהֲקִימֹתִ֤י אֶֽת־זַרְעֲךָ֙ אַחֲרֶ֔יךָ אֲשֶׁ֥ר יֵצֵ֖א מִמֵּעֶ֑יךָ וַהֲכִינֹתִ֖י אֶת־מַמְלַכְתֹּֽו׃ ,,Cmpl,וְשָֽׁכַבְתָּ֙ אֶת־אֲבֹתֶ֔יךָ ,שָֽׁכַבְתָּ֙,אֲבֹתֶ֔יךָ,אֶת־אֲבֹתֶ֔יךָ ,1,1,את,agent, 
"('Genesis', 34, 7)",616598,518472,וּבְנֵ֨י יַעֲקֹ֜ב בָּ֤אוּ מִן־הַשָּׂדֶה֙ כְּשָׁמְעָ֔ם וַיִּֽתְעַצְּבוּ֙ הָֽאֲנָשִׁ֔ים וַיִּ֥חַר לָהֶ֖ם מְאֹ֑ד כִּֽי־נְבָלָ֞ה עָשָׂ֣ה בְיִשְׂרָאֵ֗ל לִשְׁכַּב֙ אֶת־בַּֽת־יַעֲקֹ֔ב וְכֵ֖ן לֹ֥א יֵעָשֶֽׂה׃ ,,Cmpl,לִשְׁכַּב֙ אֶת־בַּֽת־יַעֲקֹ֔ב ,שְׁכַּב֙,בַּֽת,אֶת־בַּֽת־יַעֲקֹ֔ב ,1,1,את,agent, 
"('Ezekiel', 32, 27)",770535,572137,וְלֹ֤א יִשְׁכְּבוּ֙ אֶת־גִּבֹּורִ֔ים נֹפְלִ֖ים מֵעֲרֵלִ֑ים אֲשֶׁ֣ר יָרְדֽוּ־שְׁאֹ֣ול בִּכְלֵֽי־מִלְחַמְתָּם֩ וַיִּתְּנ֨וּ אֶת־חַרְבֹותָ֜ם תַּ֣חַת רָאשֵׁיהֶ֗ם וַתְּהִ֤י עֲוֹֽנֹתָם֙ עַל־עַצְמֹותָ֔ם כִּֽי־חִתִּ֥ית גִּבֹּורִ֖ים בְּאֶ֥רֶץ חַיִּֽים׃ ,,Cmpl,וְלֹ֤א יִשְׁכְּבוּ֙ אֶת־גִּבֹּורִ֔ים ,יִשְׁכְּבוּ֙,גִּבֹּורִ֔ים,אֶת־גִּבֹּורִ֔ים ,1,1,את,?, 
"('Ezekiel', 32, 28)",770559,572144,וְאַתָּ֗ה בְּתֹ֧וךְ עֲרֵלִ֛ים תִּשָּׁבַ֥ר וְתִשְׁכַּ֖ב אֶת־חַלְלֵי־חָֽרֶב׃ ,,Cmpl,וְתִשְׁכַּ֖ב אֶת־חַלְלֵי־חָֽרֶב׃ ,תִשְׁכַּ֖ב,חַלְלֵי,אֶת־חַלְלֵי־חָֽרֶב׃ ,1,1,את,?, 
"('Ezekiel', 32, 29)",770567,572147,שָׁ֣מָּה אֱדֹ֗ום מְלָכֶ֨יהָ֙ וְכָל־נְשִׂיאֶ֔יהָ אֲשֶׁר־נִתְּנ֥וּ בִגְבוּרָתָ֖ם אֶת־חַלְלֵי־חָ֑רֶב הֵ֛מָּה אֶת־עֲרֵלִ֥ים יִשְׁכָּ֖בוּ וְאֶת־יֹ֥רְדֵי בֹֽור׃ ,,Cmpl,הֵ֛מָּה אֶת־עֲרֵלִ֥ים יִשְׁכָּ֖בוּ ,יִשְׁכָּ֖בוּ,עֲרֵלִ֥ים,אֶת־עֲרֵלִ֥ים ,1,1,את,?, 
"('Ezekiel', 32, 30)",770582,572152,שָׁ֣מָּה נְסִיכֵ֥י צָפֹ֛ון כֻּלָּ֖ם וְכָל־צִֽדֹנִ֑י אֲשֶׁר־יָרְד֣וּ אֶת־חֲלָלִ֗ים בְּחִתִּיתָ֑ם מִגְּבֽוּרָתָם֙ בֹּושִׁ֔ים וַיִּשְׁכְּב֤וּ עֲרֵלִים֙ אֶת־חַלְלֵי־חֶ֔רֶב וַיִּשְׂא֥וּ כְלִמָּתָ֖ם אֶת־יֹ֥ורְדֵי בֹֽור׃ ,,Cmpl,וַיִּשְׁכְּב֤וּ עֲרֵלִים֙ אֶת־חַלְלֵי־חֶ֔רֶב ,יִּשְׁכְּב֤וּ,חַלְלֵי,אֶת־חַלְלֵי־חֶ֔רֶב ,1,1,את,?, 
"('Isaiah', 50, 11)",739291,560763,הֵ֧ן כֻּלְּכֶ֛ם קֹ֥דְחֵי אֵ֖שׁ מְאַזְּרֵ֣י זִיקֹ֑ות לְכ֣וּ׀ בְּא֣וּר אֶשְׁכֶ֗ם וּבְזִיקֹות֙ בִּֽעַרְתֶּ֔ם מִיָּדִי֙ הָיְתָה־זֹּ֣את לָכֶ֔ם לְמַעֲצֵבָ֖ה תִּשְׁכָּבֽוּן׃ פ ,"('M<YBH/', 'pain')",Adju,לְמַעֲצֵבָ֖ה תִּשְׁכָּבֽוּן׃ פ ,תִּשְׁכָּבֽוּן,מַעֲצֵבָ֖ה,לְמַעֲצֵבָ֖ה ,1,1,ל,?, 
"('Job', 7, 21)",808112,586898,וּמֶ֤ה׀ לֹא־תִשָּׂ֣א פִשְׁעִי֮ וְתַעֲבִ֪יר אֶת־עֲוֹ֫נִ֥י כִּֽי־עַ֭תָּה לֶעָפָ֣ר אֶשְׁכָּ֑ב וְשִׁ֖חֲרְתַּ֣נִי וְאֵינֶֽנִּי׃ פ ,,Cmpl,כִּֽי־עַ֭תָּה לֶעָפָ֣ר אֶשְׁכָּ֑ב ,אֶשְׁכָּ֑ב,עָפָ֣ר,לֶעָפָ֣ר ,1,1,ל,?, 
"('Job', 11, 18)",808858,587174,וּֽ֭בָטַחְתָּ כִּי־יֵ֣שׁ תִּקְוָ֑ה וְ֝חָפַרְתָּ֗ לָבֶ֥טַח תִּשְׁכָּֽב׃ ,,Adju,לָבֶ֥טַח תִּשְׁכָּֽב׃ ,תִּשְׁכָּֽב,בֶ֥טַח,לָבֶ֥טַח ,1,1,ל,locale, 
"('Psalms', 68, 14)",796534,582160,אִֽם־תִּשְׁכְּבוּן֮ בֵּ֪ין שְׁפַ֫תָּ֥יִם כַּנְפֵ֣י יֹ֭ונָה נֶחְפָּ֣ה בַכֶּ֑סֶף וְ֝אֶבְרֹותֶ֗יהָ בִּֽירַקְרַ֥ק חָרֽוּץ׃ ,"('CPTJM/', 'packsaddles')",Cmpl,אִֽם־תִּשְׁכְּבוּן֮ בֵּ֪ין שְׁפַ֫תָּ֥יִם ,תִּשְׁכְּבוּן֮,שְׁפַ֫תָּ֥יִם,בֵּ֪ין שְׁפַ֫תָּ֥יִם ,1,1,בינ,?, 
"('Genesis', 39, 10)",618576,519156,וַיְהִ֕י כְּדַבְּרָ֥הּ אֶל־יֹוסֵ֖ף יֹ֣ום׀ יֹ֑ום וְלֹא־שָׁמַ֥ע אֵלֶ֛יהָ לִשְׁכַּ֥ב אֶצְלָ֖הּ לִהְיֹ֥ות עִמָּֽהּ׃ ,,Cmpl,לִשְׁכַּ֥ב אֶצְלָ֖הּ ,שְׁכַּ֥ב,אֶצְלָ֖הּ,אֶצְלָ֖הּ ,1,1,אצל,locale, 
"('Proverbs', 23, 34)",819390,591125,וְ֭הָיִיתָ כְּשֹׁכֵ֣ב בְּלֶב־יָ֑ם וּ֝כְשֹׁכֵ֗ב בְּרֹ֣אשׁ חִבֵּֽל׃ ,,PreC,וְ֭הָיִיתָ כְּשֹׁכֵ֣ב בְּלֶב־יָ֑ם ,הָיִיתָ,שֹׁכֵ֣ב לֶב,כְּשֹׁכֵ֣ב בְּלֶב־יָ֑ם ,2,2,כ ב,? ?, 
"('Proverbs', 23, 34)",819392,591126,וְ֭הָיִיתָ כְּשֹׁכֵ֣ב בְּלֶב־יָ֑ם וּ֝כְשֹׁכֵ֗ב בְּרֹ֣אשׁ חִבֵּֽל׃ ,"('XBL=====/', '<uncertain>')",PreC,וּ֝כְשֹׁכֵ֗ב בְּרֹ֣אשׁ חִבֵּֽל׃ ,,שֹׁכֵ֗ב רֹ֣אשׁ,כְשֹׁכֵ֗ב בְּרֹ֣אשׁ חִבֵּֽל׃ ,2,2,כ ב,? agent, 
"('Numbers', 24, 9)",654220,531274,כָּרַ֨ע שָׁכַ֧ב כַּאֲרִ֛י וּכְלָבִ֖יא מִ֣י יְקִימֶ֑נּוּ מְבָרֲכֶ֣יךָ בָר֔וּךְ וְאֹרְרֶ֖יךָ אָרֽוּר׃ ,"('LBJ>/', 'lion')",Adju,שָׁכַ֧ב כַּאֲרִ֛י וּכְלָבִ֖יא ,שָׁכַ֧ב,אֲרִ֛י לָבִ֖יא,כַּאֲרִ֛י וּכְלָבִ֖יא ,2,2,כ כ,? ?, 
"('2_Kings', 14, 29)",723589,554953,וַיִּשְׁכַּ֤ב יָֽרָבְעָם֙ עִם־אֲבֹתָ֔יו עִ֖ם מַלְכֵ֣י יִשְׂרָאֵ֑ל וַיִּמְלֹ֛ךְ זְכַרְיָ֥ה בְנֹ֖ו תַּחְתָּֽיו׃ פ ,,Cmpl,וַיִּשְׁכַּ֤ב יָֽרָבְעָם֙ עִם־אֲבֹתָ֔יו עִ֖ם מַלְכֵ֣י יִשְׂרָאֵ֑ל ,יִּשְׁכַּ֤ב,אֲבֹתָ֔יו מַלְכֵ֣י,עִם־אֲבֹתָ֔יו עִ֖ם מַלְכֵ֣י יִשְׂרָאֵ֑ל ,2,2,עמ עמ,agent agent, 
