reference,text,verb,pronominal,verb_PGN,suffx_PGN,same?,verb_ca,pron_ca
"('Ecclesiastes', 5, 16)-('Ecclesiastes', 5, 16)",וְכָעַ֥ס הַרְבֵּ֖ה וְחָלְיֹ֥ו וָקָֽצֶף׃ ,כָעַ֥ס ,חָלְיֹ֥ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,593254,593255
"('Lamentations', 1, 10)-('Lamentations', 1, 10)",כִּֽי־רָאֲתָ֤ה גֹויִם֙ בָּ֣אוּ מִקְדָּשָׁ֔הּ ,רָאֲתָ֤ה ,מִקְדָּשָׁ֔הּ ,"('p3', 'f', 'sg')","('p3', 'f', 'sg')",,593842,593843
"('Lamentations', 1, 21)-('Lamentations', 1, 22)",וְיִֽהְי֥וּ כָמֹֽונִי׃ ס תָּבֹ֨א כָל־רָעָתָ֤ם לְפָנֶ֨יךָ֙ ,יִֽהְי֥וּ ,רָעָתָ֤ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,593915,593916
"('Lamentations', 5, 8)-('Lamentations', 5, 8)",עֲבָדִים֙ מָ֣שְׁלוּ בָ֔נוּ פֹּרֵ֖ק אֵ֥ין מִיָּדָֽם׃ ,מָ֣שְׁלוּ ,יָּדָֽם׃ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,594290,594291
"('Esther', 1, 17)-('Esther', 1, 17)",הַמֶּ֣לֶךְ אֲחַשְׁוֵרֹ֡ושׁ אָמַ֞ר לְהָבִ֨יא אֶת־וַשְׁתִּ֧י הַמַּלְכָּ֛ה לְפָנָ֖יו ,אָמַ֞ר ,פָנָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,594377,594378
"('Esther', 4, 11)-('Esther', 4, 11)",אֲשֶׁ֣ר לֹֽא־יִקָּרֵ֗א אַחַ֤ת דָּתֹו֙ ,יִקָּרֵ֗א ,דָּתֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,594639,594640
"('Esther', 9, 25)-('Esther', 9, 25)",אֲשֶׁר־חָשַׁ֥ב עַל־הַיְּהוּדִ֖ים עַל־רֹאשֹׁ֑ו ,חָשַׁ֥ב ,רֹאשֹׁ֑ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,595075,595076
"('Daniel', 11, 4)-('Daniel', 11, 4)",אֲשֶׁ֣ר מָשָׁ֔ל כִּ֤י תִנָּתֵשׁ֙ מַלְכוּתֹ֔ו ,מָשָׁ֔ל ,מַלְכוּתֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,596676,596677
"('Daniel', 11, 6)-('Daniel', 11, 6)",וְלֹ֤א יַעֲמֹד֙ וּזְרֹעֹ֔ו ,יַעֲמֹד֙ ,זְרֹעֹ֔ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,596687,596688
"('Daniel', 11, 24)-('Daniel', 11, 24)",וְעָשָׂ֗ה אֲשֶׁ֨ר לֹא־עָשׂ֤וּ אֲבֹתָיו֙ וַאֲבֹ֣ות אֲבֹתָ֔יו ,עָשָׂ֗ה ,אֲבֹתָיו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,596771,596772
"('Nehemiah', 2, 20)-('Nehemiah', 2, 20)",ה֚וּא יַצְלִ֣יחַֽ לָ֔נוּ וַאֲנַ֥חְנוּ עֲבָדָ֖יו נָק֣וּם ,יַצְלִ֣יחַֽ ,עֲבָדָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,597958,597959
"('Nehemiah', 4, 5)-('Nehemiah', 4, 5)",וְלֹ֣א יִרְא֔וּ עַ֛ד אֲשֶׁר־נָבֹ֥וא אֶל־תֹּוכָ֖ם ,יִרְא֔וּ ,תֹּוכָ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",,598088,598089
"('1_Chronicles', 16, 12)-('1_Chronicles', 16, 12)",אֲשֶׁ֣ר עָשָׂ֔ה מֹפְתָ֖יו וּמִשְׁפְּטֵי־פִֽיהוּ׃ ,עָשָׂ֔ה ,מֹפְתָ֖יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,600455,600456
"('2_Chronicles', 6, 26)-('2_Chronicles', 6, 26)",וְהֹוד֣וּ אֶת־שְׁמֶ֔ךָ מֵחַטָּאתָ֥ם יְשׁוּב֖וּן ,הֹוד֣וּ ,חַטָּאתָ֥ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",,602157,602158
"('2_Chronicles', 9, 8)-('2_Chronicles', 9, 8)",אֲשֶׁ֣ר׀ חָפֵ֣ץ בְּךָ֗ לְתִתְּךָ֤ עַל־כִּסְאֹו֙ לְמֶ֔לֶךְ לַיהוָ֖ה אֱלֹהֶ֑יךָ ,חָפֵ֣ץ ,כִּסְאֹו֙ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,602449,602450
"('2_Chronicles', 32, 14)-('2_Chronicles', 32, 14)",אֲשֶׁ֣ר יָכֹ֔ול לְהַצִּ֥יל אֶת־עַמֹּ֖ו מִיָּדִ֑י ,יָכֹ֔ול ,עַמֹּ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",,604613,604614
