reference,text,same?,notes,verb,pronominal,verb_PGN,suffx_PGN,vb_Cl_type,pn_Cl_type,verb_ca,pron_ca
Joshua 6:13,וְתָקְע֖וּ בַּשֹּׁופָרֹ֑ות וְהֶחָלוּץ֙ הֹלֵ֣ךְ לִפְנֵיהֶ֔ם ,,,תָקְע֖וּ ,פְנֵיהֶ֔ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WQt0,Ptcp,537024,537025
Joshua 18:1,וַיַּשְׁכִּ֥ינוּ שָׁ֖ם אֶת־אֹ֣הֶל מֹועֵ֑ד וְהָאָ֥רֶץ נִכְבְּשָׁ֖ה לִפְנֵיהֶֽם׃ ,,,יַּשְׁכִּ֥ינוּ ,פְנֵיהֶֽם׃ ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,WXQt,538227,538228
Joshua 18:12,וְעָלָ֤ה בָהָר֙ יָ֔מָּה וְהָיוּ֙ תֹּֽצְאֹתָ֔יו מִדְבַּ֖רָה בֵּ֥ית אָֽוֶן׃ ,,,עָלָ֤ה ,תֹּֽצְאֹתָ֔יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WQt0,WQtX,538273,538274
Joshua 24:10,וַיְבָ֤רֶךְ בָּרֹוךְ֙ אֶתְכֶ֔ם וָאַצִּ֥ל אֶתְכֶ֖ם מִיָּדֹֽו׃ ,,,יְבָ֤רֶךְ ,יָּדֹֽו׃ ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,Way0,538793,538794
Judges 2:12,וַיֵּלְכ֞וּ אַחֲרֵ֣י׀ אֱלֹהִ֣ים אֲחֵרִ֗ים מֵאֱלֹהֵ֤י הָֽעַמִּים֙ אֲשֶׁר֙ סְבִיבֹ֣ותֵיהֶ֔ם ,,,יֵּלְכ֞וּ ,סְבִיבֹ֣ותֵיהֶ֔ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",Way0,NmCl,539071,539072
Judges 2:14,וְלֹֽא־יָכְל֣וּ עֹ֔וד לַעֲמֹ֖ד לִפְנֵ֥י אֹויְבֵיהֶֽם׃ ,,,יָכְל֣וּ ,אֹויְבֵיהֶֽם׃ ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,InfC,539081,539082
Judges 3:4,הֲיִשְׁמְעוּ֙ אֶת־מִצְוֹ֣ת יְהוָ֔ה אֲשֶׁר־צִוָּ֥ה אֶת־אֲבֹותָ֖ם בְּיַד־מֹשֶֽׁה׃ ,,,יִשְׁמְעוּ֙ ,אֲבֹותָ֖ם ,"('p3', 'm', 'pl')","('p3', 'm', 'pl')",xYq0,xQt0,539139,539140
Judges 3:24,וְה֤וּא יָצָא֙ וַעֲבָדָ֣יו בָּ֔אוּ ,,,יָצָא֙ ,עֲבָדָ֣יו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",WXQt,WXQt,539213,539214
Judges 8:28,וְלֹ֥א יָסְפ֖וּ לָשֵׂ֣את רֹאשָׁ֑ם ,,,יָסְפ֖וּ ,רֹאשָׁ֑ם ,"('p3', 'unknown', 'pl')","('p3', 'm', 'pl')",WxQ0,InfC,539966,539967
Judges 15:19,וַיֵּ֔שְׁתְּ וַתָּ֥שָׁב רוּחֹ֖ו ,,,יֵּ֔שְׁתְּ ,רוּחֹ֖ו ,"('p3', 'm', 'sg')","('p3', 'm', 'sg')",Way0,WayX,540893,540894
